word,word_norm,phon,skeleton,n_tokens,frequency,relevance_mode,category_mode,n_mispronounced,n_meaning_changed,n_dropped,mispron_rate,meaning_change_rate,n_surface_forms,surface_forms,tier,n_variants_kept,variants
मसूर दाल,मसूर दाल,MaSuRaDaL,MSRDL,2,17,4,crop,2,1,0,0.1176,0.0588,1,मसूर दाल,core,1,मसूडे (1)
गलकी,गलकी,KaLaKi,KLK,1,17,4,concern,9,2,0,0.5294,0.1176,1,गलकी,core,7,गल की (2) | गल के (1) | गलती (1) | गल क्यों (1) | गलके (1) | फल (1) | गलखी (1)
हटाएं,हटाएं,HaTae,HT,1,17,3,activity_method,10,1,1,0.5882,0.0588,1,हटाएं,core,1,हटाए (9)
डंठल,डंठल,DanTaL,DTL,1,17,4,concern,2,0,0,0.1176,0.0,1,डंठल,core,2,डंटल (1) | डंगेल (1)
प्राकृतिक,प्राकृतिक,PRaKriTiK,PRKTK,1,17,3,activity_method,0,0,0,0.0,0.0,1,प्राकृतिक,core,0,
तोड़ा,तोडा,ToDa,TD,1,17,4,crop,8,6,1,0.4706,0.3529,1,तोड़ा,core,3,थोडा (5) | डरा (1) | तोरा (1)
मिचाई,मिचाई,MiCai,MC,1,17,4,crop,12,8,1,0.7059,0.4706,1,मिचाई,core,9,मिचाय (2) | मिर्ची (1) | मीट चाई (1) | मिजाज (1) | मिठाई (1) | बिचौलिया (1) | मर चाय (1) | मिर्चा (1) | चाय (1)
दो हजार पच्चीस,दो हजार पच्चीस,DoHaJaRaPaCiS,DHJRPCS,3,17,3,other,8,1,0,0.4706,0.0588,2,दो हजार पच्चीस | दो हज़ार पच्चीस,phrase,0,
कॉफी,कोफी,KoPi,KP,1,17,4,crop,2,2,0,0.1176,0.1176,2,कॉफी | कोफ़ी,core,2,कौथी (1) | गोभी (1)
कली,कली,KaLi,KL,1,17,4,growth_stage,1,0,0,0.0588,0.0,1,कली,core,0,
सड़ रहा,सड रहा,SaDaRaHa,SDRH,2,17,4,concern,4,3,0,0.2353,0.1765,1,सड़ रहा,core,4,सडा रस (1) | खा रहा हूं (1) | सर रहा (1) | चल रहा (1)
अच्छी उपज,अच्छी उपज,aCiuPaJ,CPJ,2,17,4,quantity_unit,4,1,1,0.2353,0.0588,1,अच्छी उपज,core,2,अच्छे उपज (2) | बहुत उपज (1)
उगने,उगने,uKaNe,KN,1,17,3,growth_stage,6,4,0,0.3529,0.2353,1,उगने,core,5,उगाने (2) | लगाने (1) | गिरने (1) | बोने (1) | उंगली (1)
कर सकते हैं,कर सकते हैं,KaRaSaKaTeHe,KRSKTH,3,17,3,activity_method,4,1,1,0.2353,0.0588,1,कर सकते हैं,phrase,2,कर सकते हो (1) | करते हैं (1)
थ्रिप्स,थ्रिप्स,TRiPS,TRPS,1,17,4,concern,9,8,0,0.5294,0.4706,1,थ्रिप्स,core,5,टिप्स (5) | कीडो (1) | शीत सब (1) | फ्री सब (1) | थिप्स (1)
मत्स्य,मत्स्य,MaTSY,MTSY,1,17,4,livestock,1,0,0,0.0588,0.0,1,मत्स्य,core,1,मतस्य (1)
दो दिनों,दो दिनों,DoDiNo,DDN,2,17,3,quantity_unit,4,2,0,0.2353,0.1176,1,दो दिनों,core,3,दो दिन (2) | बहुत दिनों (1) | दूध (1)
फफूंद नाशक,फफूंद नाशक,PaPunDaNaSaK,PPDNSK,2,17,4,fertilizer_chemical,4,0,0,0.2353,0.0,1,फफूंद नाशक,core,4,फफूंदनाशक (1) | फफूंदी नाशक (1) | फफूंदक नाशक (1) | फफूंद नासा (1)
पहली बार,पहली बार,PaHaLiBaR,PHLBR,2,17,3,growth_stage,1,1,0,0.0588,0.0588,1,पहली बार,core,1,पोली वायर (1)
बनिया,बनिया,BaNiYa,BNY,1,17,2,variety,13,13,0,0.7647,0.7647,1,बनिया,long_tail,1,बढिया (13)
आदमी,आदमी,aDaMi,DM,1,17,2,livestock,1,1,0,0.0588,0.0588,1,आदमी,long_tail,1,आलू (1)
गिराया,गिराया,KiRaYa,KRY,1,17,3,activity_method,2,1,0,0.1176,0.0588,1,गिराया,core,1,बोया (1)
नहीं है,नहीं है,NaHinHe,NHH,2,17,4,concern,12,0,0,0.7059,0.0,1,नहीं है,core,4,नहीं आया (9) | नहीं आए हैं (1) | नहीं आए (1) | नहीं आ रहा (1)
केचुवा,केचुवा,KeCuBa,KCB,1,16,4,other,14,0,0,0.875,0.0,1,केचुवा,core,2,केंचुआ (13) | केंचुए (1)
चेचक,चेचक,CeCaK,CCK,1,16,4,concern,2,1,0,0.125,0.0625,1,चेचक,core,2,बेस्ट लाइन सर्वे (1) | चचक (1)
बकरा,बकरा,BaKaRa,BKR,1,16,4,livestock,6,5,0,0.375,0.3125,1,बकरा,core,4,बकरी (1) | वक्र (1) | बाकरी (1) | बगला (1)
सीमन,सीमन,SiMaN,SMN,1,16,4,activity_method,7,2,1,0.4375,0.125,1,सीमन,core,2,सीमेन (3) | सेवन (1)
प्रबंध,प्रबंध,PRaBanD,PRBD,1,16,3,activity_method,1,0,0,0.0625,0.0,1,प्रबंध,core,1,प्रबंस (1)
सर्वोत्तम,सर्वोत्तम,SaRBoTaM,SRBTM,1,16,3,other,1,0,0,0.0625,0.0,1,सर्वोत्तम,core,1,सर्व-सर्वोत्तम (1)
चमोकन,चमोकन,CaMoKaN,CMKN,1,16,4,concern,14,2,0,0.875,0.125,1,चमोकन,core,8,चमोखन (5) | चमokan (3) | अच्छा मक्खन (1) | चमकान (1) | अच्छा मोकन (1) | चमौकन (1) | चमोकान (1) | चमू कन (1)
केचुआ,केचुआ,KeCua,KC,1,16,4,other,14,2,0,0.875,0.125,1,केचुआ,core,3,केंचुआ (12) | के (1) | लोग (1)
लगता है,लगता है,LaKaTaHe,LKTH,2,16,3,activity_method,0,0,0,0.0,0.0,1,लगता है,core,0,
जवाब,जवाब,JaBaB,JBB,1,16,3,activity_method,2,2,0,0.125,0.125,1,जवाब,core,2,दवाई (1) | सवाल (1)
नहीं पकड़ रहा है,नहीं पकड रहा है,NaHinPaKaDaRaHaHe,NHPKDRHH,4,16,4,concern,1,1,0,0.0625,0.0625,1,नहीं पकड़ रहा है,phrase,1,नहीं पक रहा है (1)
जायद,जायद,JaYaD,JYD,1,16,4,growth_stage,3,2,0,0.1875,0.125,1,जायद,core,3,पंचायत (1) | गर्म मौसम (1) | यायस (1)
हानिकारक,हानिकारक,HaNiKaRaK,HNKRK,1,16,4,concern,0,0,0,0.0,0.0,1,हानिकारक,core,0,
कैसे की जाती है,कैसे की जाती है,KeSeKiJaTiHe,KSKJTH,4,16,3,activity_method,0,0,0,0.0,0.0,1,कैसे की जाती है,phrase,0,
सुबह,सुबह,SuBa,SB,1,16,3,other,0,0,0,0.0,0.0,1,सुबह,core,0,
बारले,बारले,BaRaLe,BRL,1,16,4,crop,11,2,1,0.6875,0.125,1,बारले,core,5,बार्ले (5) | बोरले (1) | बाल (1) | बाजरे (1) | बार्ली (1)
अधिक पैदावार,अधिक पैदावार,aDiKaPeDaBaR,DKPDBR,2,16,4,quantity_unit,2,0,0,0.125,0.0,1,अधिक पैदावार,core,0,
समाचार,समाचार,SaMaCaR,SMCR,1,16,3,other,4,4,1,0.25,0.25,1,समाचार,core,3,समाधान (1) | समा चलेगा (1) | समझ आ रहा है (1)
कागजी नींबू,कागजी नींबू,KaKaJiNinBu,KKJNB,2,16,4,crop,3,3,0,0.1875,0.1875,1,कागजी नींबू,core,3,ताजी नींबू (1) | काकी नींबू (1) | काजरी नींबू (1)
सामान,सामान,SaMaN,SMN,1,16,3,other,3,2,0,0.1875,0.125,1,सामान,core,3,समान (1) | सुमन (1) | समय (1)
अनुकूल,अनुकूल,aNuKuL,NKL,1,16,3,other,0,0,0,0.0,0.0,1,अनुकूल,core,0,
किश्त,किश्त,KiST,KST,1,16,4,quantity_unit,16,0,0,1.0,0.0,1,किश्त,core,1,किस्त (16)
नाश,नाश,NaS,NS,1,16,3,activity_method,6,0,0,0.375,0.0,1,नाश,core,2,नास (5) | नष्ट (1)
खर्च,खर्च,KaRC,KRC,1,16,4,quantity_unit,7,5,0,0.4375,0.3125,1,खर्च,core,4,खाद (3) | खर्चा (2) | खरपतवार (1) | खाली छोड दे (1)
लाल हो रहा है,लाल हो रहा है,LaLaHoRaHaHe,LLHRHH,4,16,4,concern,0,0,0,0.0,0.0,1,लाल हो रहा है,phrase,0,
बनाते,बनाते,BaNaTe,BNT,1,16,3,activity_method,3,2,1,0.1875,0.125,1,बनाते,core,2,बताते (1) | बनाता (1)
टू फोर डी,टू फोर डी,TuPoRaDi,TPRD,3,16,4,fertilizer_chemical,16,5,0,1.0,0.3125,2,टू फोर डी | टू फॉर डी,phrase,3,24 डी (3) | 240 n ए (1) | नुरमा 24D (1)
लगाई जाए,लगाई जाए,LaKaiJae,LKJ,2,16,3,activity_method,2,0,0,0.125,0.0,1,लगाई जाए,core,1,लगाया जाए (2)
फल नहीं आया,फल नहीं आया,PaLaNaHinaYa,PLNHY,3,16,4,concern,4,3,0,0.25,0.1875,1,फल नहीं आया,phrase,2,फल नहीं है (3) | फल नहीं आ रहे (1)
ऑनलाइन,ऑनलाइन,oNaLaiN,NLN,1,16,3,activity_method,0,0,0,0.0,0.0,1,ऑनलाइन,core,0,
करना होगा,करना होगा,KaRaNaHoKa,KRNHK,2,16,3,activity_method,2,1,0,0.125,0.0625,1,करना होगा,core,2,क्या करना है (1) | होगा (1)
लगते,लगते,LaKaTe,LKT,1,16,3,activity_method,6,2,0,0.375,0.125,1,लगते,core,5,लगता (2) | लग के (1) | लगाते (1) | फल (1) | बनाते (1)
खोलने,खोलने,KoLaNe,KLN,1,16,3,activity_method,0,0,0,0.0,0.0,1,खोलने,core,0,
गलन,गलन,KaLaN,KLN,1,16,4,concern,14,1,0,0.875,0.0625,1,गलन,core,6,गलने (9) | गला (1) | गलान (1) | गलण (1) | गर्म (1) | गल (1)
शलगम,शलगम,SaLaKaM,SLKM,1,16,4,crop,16,0,0,1.0,0.0,1,शलगम,core,2,शलजम (15) | सलगम (1)
बाग,बाग,BaK,BK,1,16,2,location,4,2,1,0.25,0.125,2,बाग | बाग़,long_tail,2,बाघ (1) | भाव (1)
मार,मार,MaR,MR,1,16,3,activity_method,6,1,0,0.375,0.0625,1,मार,core,3,मारा (1) | मरने (1) | सकता (1)
डाला जाता है,डाला जाता है,DaLaJaTaHe,DLJTH,3,16,3,activity_method,2,1,0,0.125,0.0625,1,डाला जाता है,phrase,1,पाया जाता है (1)
छेदक,छेदक,CeDaK,CDK,1,16,4,concern,5,2,0,0.3125,0.125,1,छेदक,core,3,छिद्रक (1) | छेद (1) | छे छे तक (1)
स्थानीय,स्थानीय,STaNiY,STNY,1,16,2,location,1,0,1,0.0625,0.0,1,स्थानीय,long_tail,0,
सुख गया,सुख गया,SuKaKaYa,SKKY,2,16,4,concern,14,2,0,0.875,0.125,1,सुख गया,core,5,सूख गया (10) | बोला हमरो (1) | सूख जाती है (1) | हो रहा है (1) | सुख (1)
फुल कोभी,फुल कोभी,PuLaKoBi,PLKB,2,16,4,crop,16,0,0,1.0,0.0,1,फुल कोभी,core,6,फूल गोभी (9) | फुल गोभी (2) | फूल को भी (2) | फूल को भी कोभी (1) | फूलकोबी (1) | फूलगोभी (1)
प्रोसेस,प्रोसेस,PRoSeS,PRSS,1,16,3,activity_method,1,1,1,0.0625,0.0625,1,प्रोसेस,core,0,
खरपतवार नाशक दवा,खरपतवार नाशक दवा,KaRaPaTaBaRaNaSaKaDaBa,KRPTBRNSKDB,3,16,4,fertilizer_chemical,9,0,0,0.5625,0.0,1,खरपतवार नाशक दवा,phrase,4,खरपतवार नाशी दवा (6) | खर पतवार नाशक दवा (1) | खरपतवारनाशक का दवा (1) | खरपर नास दवा (1)
मडुआ,मडुआ,MaDua,MD,1,16,4,crop,16,1,0,1.0,0.0625,2,मडुआ | मड़ुआ,core,3,मडुवा (11) | मरुवा (4) | मरो या (1)
किस तरह,किस तरह,KiSaTaRa,KSTR,2,16,3,activity_method,5,4,0,0.3125,0.25,1,किस तरह,core,3,किस तरफ (1) | किस समय (1) | किस पर (1)
पानी दिया जाता है,पानी दिया जाता है,PaNiDiYaJaTaHe,PNDYJTH,4,16,3,activity_method,3,1,0,0.1875,0.0625,1,पानी दिया जाता है,phrase,1,पानी पडता है (1)
दिशा,दिशा,DiSa,DS,1,16,3,other,0,0,0,0.0,0.0,1,दिशा,core,0,
एचडी उन्तीस सड़सठ,एचडी उन्तीस सडसठ,eCaDiuNTiSaSaDaSaT,CDNTSSDST,3,16,2,variety,15,2,0,0.9375,0.125,1,एचडी उन्तीस सड़सठ,phrase,2,एचडी 2967 (4) | एसटी 2968 (1)
गजरा,गजरा,KaJaRa,KJR,1,16,4,crop,6,4,0,0.375,0.25,1,गजरा,core,4,गाजरा (2) | गाजर (2) | हमरा जडा (1) | मगर जडा (1)
कितने दिन के बाद,कितने दिन के बाद,KiTaNeDiNaKeBaD,KTNDNKBD,4,16,3,quantity_unit,2,0,0,0.125,0.0,1,कितने दिन के बाद,phrase,2,कितने दिनों के बाद (1) | कितना दिन के बाद (1)
छिटेंगे,छिटेंगे,CiTenKe,CTK,1,16,3,activity_method,8,1,0,0.5,0.0625,1,छिटेंगे,core,5,छिडकेंगे (3) | छीटेंगे (2) | चीटिंग (1) | छिडकना (1) | छिंटे की (1)
करेंगे,करेंगे,KaRenKe,KRK,1,16,3,activity_method,3,2,1,0.1875,0.125,1,करेंगे,core,1,करूंगी (1)
देना चाहिए,देना चाहिए,DeNaCaHie,DNCH,2,16,3,activity_method,3,0,0,0.1875,0.0,1,देना चाहिए,core,0,
अंकुरित,अंकुरित,anKuRiT,KRT,1,16,3,growth_stage,1,1,0,0.0625,0.0625,1,अंकुरित,core,1,कंक्रीट (1)
हरा सब्जी,हरा सब्जी,HaRaSaBJi,HRSBJ,2,16,4,crop,1,1,0,0.0625,0.0625,1,हरा सब्जी,core,1,हरा साहब जी (1)
धर लिया,धर लिया,DaRaLiYa,DRLY,2,16,3,activity_method,7,3,0,0.4375,0.1875,1,धर लिया,core,5,धैले है (2) | धार लिया (2) | धर ले (1) | डाल लिया (1) | धरिया (1)
झड़ता,झडता,JaDaTa,JDT,1,16,4,concern,7,0,0,0.4375,0.0,1,झड़ता,core,2,झरता (6) | झर रहा (1)
बीजा,बीजा,BiJa,BJ,1,16,4,other,11,2,0,0.6875,0.125,1,बीजा,core,6,बीज (3) | बिया (2) | बिदा (1) | बीजक (1) | बीचा (1) | बीघा (1)
अगला,अगला,aKaLa,KL,1,16,3,other,1,0,1,0.0625,0.0,1,अगला,core,0,
पर्सेंट,पर्सेंट,PaRSenT,PRST,1,16,4,quantity_unit,15,1,0,0.9375,0.0625,1,पर्सेंट,core,2,परसेंट (14) | प्रश्न (1)
बड़ा होने,बडा होने,BaDaHoNe,BDHN,2,16,3,growth_stage,3,3,0,0.1875,0.1875,1,बड़ा होने,core,2,पाला होने (2) | बोर होने (1)
फीट,फीट,PiT,PT,1,16,4,quantity_unit,4,1,0,0.25,0.0625,2,फीट | फ़ीट,core,1,किट (1)
गांठ,गांठ,KanT,KT,1,16,4,concern,5,4,0,0.3125,0.25,2,गांठ | गाँठ,core,1,कांट (3)
छिटाता,छिटाता,CiTaTa,CTT,1,16,3,activity_method,14,2,0,0.875,0.125,1,छिटाता,core,10,छिदाता (2) | छिंटा है (2) | छिडकता (2) | छींटा आता (1) | आता (1) | छिटा कहा (1) | छिडाता (1) | छींटा था है (1) | छिंटाता (1) | चिता (1)
घनजीवामृत,घनजीवामृत,KaNaJiBaMriT,KNJBMT,1,15,4,fertilizer_chemical,15,5,1,1.0,0.3333,1,घनजीवामृत,core,8,घन जीवामृत (4) | धन जीवामृत (3) | घनजीवा अमृत (2) | अमृत (1) | धनजी व अमृत (1) | जीवामृत (1) | घने जीवामृत (1) | घंजवा अमृत (1)
सलाहकार,सलाहकार,SaLaHaKaR,SLHKR,1,15,3,activity_method,1,1,0,0.0667,0.0667,1,सलाहकार,core,1,कलाकार (1)
ऐब,ऐब,eB,B,1,15,4,concern,8,6,1,0.5333,0.4,1,ऐब,core,5,आग (2) | अब (1) | एप्प (1) | एप (1) | अभी (1)
बचाएंगे,बचाएंगे,BaCaenKe,BCK,1,15,3,activity_method,0,0,0,0.0,0.0,1,बचाएंगे,core,0,
विस्तार से,विस्तार से,BiSTaRaSe,BSTRS,2,15,3,activity_method,0,0,0,0.0,0.0,1,विस्तार से,core,0,
लग सकता है,लग सकता है,LaKaSaKaTaHe,LKSKTH,3,15,3,activity_method,0,0,0,0.0,0.0,1,लग सकता है,phrase,0,
परसबीम,परसबीम,PaRaSaBiM,PRSBM,1,15,4,crop,15,11,0,1.0,0.7333,1,परसबीम,core,13,परस बीम (3) | ब्राजील (1) | प्रसव भीम (1) | प्रसवनी (1) | परस बीन (1) | परसदेव (1) | फ्रेश बीम (1) | रास भी (1) | पैरासिटामोल (1) | फर्श बीन (1) | हरस बीन (1) | इस बीम (1) | प्रतिबिंब (1)
भंगुरा,भंगुरा,BanKuRa,BKR,1,15,4,concern,14,6,0,0.9333,0.4,1,भंगुरा,core,9,बगुरा (4) | भांगरा (2) | भंगुर (2) | भुवा (1) | घबरा (1) | बंगरा (1) | भोंगरा (1) | बंगरारा (1) | बुर्रा (1)
रजिस्ट्रेशन,रजिस्ट्रेशन,RaJiSTReSaN,RJSTRSN,1,15,3,activity_method,2,1,0,0.1333,0.0667,1,रजिस्ट्रेशन,core,1,एजुकेशन लोन (1)
कंठा,कंठा,KanTa,KT,1,15,4,concern,3,2,0,0.2,0.1333,1,कंठा,core,1,घंटा (1)
काजू,काजू,KaJu,KJ,1,15,4,crop,1,0,0,0.0667,0.0,1,काजू,core,1,का जो (1)
जड़ी,जडी,JaDi,JD,1,15,4,concern,4,2,0,0.2667,0.1333,1,जड़ी,core,3,जड (1) | जे हुवे (1) | जडे (1)
मोतिहारी,मोतिहारी,MoTiHaRi,MTHR,1,15,2,location,3,3,2,0.2,0.2,1,मोतिहारी,long_tail,0,
उत्पाद,उत्पाद,uTPaD,TPD,1,15,4,quantity_unit,4,1,0,0.2667,0.0667,1,उत्पाद,core,2,उत्पादन (3) | नेपाल लाने (1)
संबंधित,संबंधित,SanBanDiT,SBDT,1,15,2,other,2,0,0,0.1333,0.0,1,संबंधित,long_tail,1,संबंध देते हैं (1)
रोपता,रोपता,RoPaTa,RPT,1,15,3,activity_method,14,9,1,0.9333,0.6,1,रोपता,core,9,रोपाता (2) | बोया जाता (2) | बोया जाता है (2) | रो पाता (1) | रोपा जाता है (1) | बोया बोया जाता है (1) | जाता (1) | रुकता (1) | विरोध साई (1)
मिटटी,मिटटी,MiTaTi,MTT,1,15,4,other,15,4,2,1.0,0.2667,1,मिटटी,core,3,मिट्टी (11) | नृत्य (1) | साइज (1)
शिकायत,शिकायत,SiKaYaT,SKYT,1,15,3,concern,0,0,0,0.0,0.0,1,शिकायत,core,0,
बचाना,बचाना,BaCaNa,BCN,1,15,3,activity_method,1,0,0,0.0667,0.0,1,बचाना,core,1,बचाए (1)
जमा,जमा,JaMa,JM,1,15,3,activity_method,4,4,1,0.2667,0.2667,1,जमा,core,3,जे में (1) | जान वा (1) | मार (1)
लिची,लिची,LiCi,LC,1,15,4,crop,15,1,0,1.0,0.0667,1,लिची,core,2,लीची (14) | लिख (1)
ब्रह्मास्त्र,ब्रह्मास्त्र,BRaHMaSTR,BRHMSTR,1,15,4,fertilizer_chemical,1,0,0,0.0667,0.0,1,ब्रह्मास्त्र,core,0,
इस महीने,इस महीने,iSaMaHiNe,SMHN,2,15,3,other,2,1,1,0.1333,0.0667,1,इस महीने,core,1,इस महीना (1)
देखरेख,देखरेख,DeKaReK,DKRK,1,15,3,activity_method,7,1,0,0.4667,0.0667,1,देखरेख,core,4,देख रेख (4) | देख कर देख (1) | देख रहे (1) | देख-रेख (1)
लगने वाली,लगने वाली,LaKaNeBaLi,LKNBL,2,15,3,other,4,0,0,0.2667,0.0,1,लगने वाली,core,1,लगने वाले (4)
बछड़ा,बछडा,BaCaDa,BCD,1,15,4,livestock,6,3,0,0.4,0.2,1,बछड़ा,core,5,बाछडा (1) | बाजरा (1) | बछरा (1) | बछडे (1) | बच्चा (1)
फुला,फुला,PuLa,PL,1,15,4,concern,10,4,0,0.6667,0.2667,1,फुला,core,6,फूल आ रहा (2) | बुला (1) | फूला (1) | फूल (1) | पेल (1) | फला (1)
गिर जा रहा है,गिर जा रहा है,KiRaJaRaHaHe,KRJRHH,4,15,4,concern,2,0,0,0.1333,0.0,1,गिर जा रहा है,phrase,1,गिर जाता है (1)
चलाएं,चलाएं,CaLae,CL,1,15,3,activity_method,6,2,0,0.4,0.1333,1,चलाएं,core,4,चला (3) | जलाएं (1) | चलेगा (1) | चला है (1)
बरसीम,बरसीम,BaRaSiM,BRSM,1,15,4,crop,2,1,0,0.1333,0.0667,1,बरसीम,core,2,बर्सीम (1) | बर्फी (1)
प्यार,प्यार,PYaR,PYR,1,15,4,crop,14,14,0,0.9333,0.9333,1,प्यार,core,5,प्याज (10) | क्या कह रही थी (1) | पीपीआर (1) | आज (1) | सर दर्द (1)
विशेषज्ञ,विशेषज्ञ,BiSeSaJN,BSSJN,1,15,3,other,1,1,0,0.0667,0.0667,1,विशेषज्ञ,core,1,किसी भी (1)
खाद पदार्थ,खाद पदार्थ,KaDaPaDaRT,KDPDRT,2,15,4,fertilizer_chemical,10,8,0,0.6667,0.5333,1,खाद पदार्थ,core,1,खाद्य पदार्थ (10)
मुजफ्फरपुर,मुजफ्फरपुर,MuJaPaRaPuR,MJPRPR,1,15,2,location,1,1,1,0.0667,0.0667,1,मुजफ्फरपुर,long_tail,0,
कालापन,कालापन,KaLaPaN,KLPN,1,15,4,concern,2,1,0,0.1333,0.0667,1,कालापन,core,1,कडवापन (1)
बच्चा देती है,बच्चा देती है,BaCaDeTiHe,BCDTH,3,15,4,activity_method,1,0,0,0.0667,0.0,1,बच्चा देती है,phrase,0,
लगाया जा सकता है,लगाया जा सकता है,LaKaYaJaSaKaTaHe,LKYJSKTH,4,15,3,activity_method,0,0,0,0.0,0.0,1,लगाया जा सकता है,phrase,0,
पहली सिंचाई,पहली सिंचाई,PaHaLiSinCai,PHLSC,2,15,4,activity_method,2,1,0,0.1333,0.0667,1,पहली सिंचाई,core,1,पहले सिंचाई (1)
अंडे,अंडे,anDe,D,1,15,4,livestock,1,0,0,0.0667,0.0,1,अंडे,core,1,अंडा (1)
मरता,मरता,MaRaTa,MRT,1,15,4,concern,5,2,0,0.3333,0.1333,1,मरता,core,2,मारता (2) | मरा (1)
बहुत सारा,बहुत सारा,BaHuTaSaRa,BHTSR,2,15,4,quantity_unit,2,1,0,0.1333,0.0667,1,बहुत सारा,core,2,बहुत ज्यादा (1) | बहुत साल (1)
पचीस,पचीस,PaCiS,PCS,1,15,4,quantity_unit,12,1,0,0.8,0.0667,1,पचीस,core,0,
आया,आया,aYa,Y,1,15,3,other,4,3,1,0.2667,0.2,1,आया,core,3,फल (1) | आ रहा है (1) | लगाया (1)
बिन्स,बिन्स,BiNS,BNS,1,15,4,crop,15,0,0,1.0,0.0,1,बिन्स,core,3,बींस (13) | मेंस (1) | बीन्स (1)
खली,खली,KaLi,KL,1,15,4,fertilizer_chemical,2,0,0,0.1333,0.0,1,खली,core,1,खाली (1)
उखड़ा रोग,उखडा रोग,uKaDaRoK,KDRK,2,15,4,concern,4,2,1,0.2667,0.1333,1,उखड़ा रोग,core,2,उखरा रोग (2) | बुखार रोग (1)
फरे,फरे,PaRe,PR,1,15,4,concern,6,4,0,0.4,0.2667,1,फरे,core,5,फल है (2) | फडे (1) | फले (1) | फारे (1) | खेल पा रहे हैं (1)
मनी,मनी,MaNi,MN,1,15,4,other,2,2,0,0.1333,0.1333,1,मनी,core,2,मानी (1) | मने (1)
ज्यादा पानी,ज्यादा पानी,JYaDaPaNi,JYDPN,2,15,4,quantity_unit,0,0,0,0.0,0.0,1,ज्यादा पानी,core,0,
पच्चीस,पच्चीस,PaCiS,PCS,1,15,4,quantity_unit,10,2,0,0.6667,0.1333,1,पच्चीस,core,0,
खरपतवार नासी,खरपतवार नासी,KaRaPaTaBaRaNaSi,KRPTBRNS,2,15,4,fertilizer_chemical,13,1,0,0.8667,0.0667,1,खरपतवार नासी,core,6,खरपतवार नाशी (8) | खर-पतवार नाशी (1) | खाद पतवार नाशी (1) | खरपतवार नाशक (1) | खर पतवार नाशी (1) | खरपतवार-नाशक (1)
पीलुवा,पीलुवा,PiLuBa,PLB,1,15,4,concern,15,0,0,1.0,0.0,1,पीलुवा,core,3,पिलवा (9) | पिलुआ (5) | पिल्लू (1)
नहीं दे रही है,नहीं दे रही है,NaHinDeRaHiHe,NHDRHH,4,15,4,concern,1,0,0,0.0667,0.0,1,नहीं दे रही है,phrase,1,नहीं दे रही (1)
लालसाग,लालसाग,LaLaSaK,LLSK,1,15,4,crop,15,1,0,1.0,0.0667,1,लालसाग,core,6,लाल साग (9) | लालसा (2) | बाल साफ (1) | लालसा / लाल साग (1) | लाल शाक (1) | लाल साक (1)
रोक,रोक,RoK,RK,1,15,3,activity_method,7,6,1,0.4667,0.4,1,रोक,core,3,रोग (3) | रोप (1) | मुरक (1)
बढ़ाये,बढाये,BaDaYe,BDY,1,15,3,activity_method,12,3,1,0.8,0.2,2,बढ़ाये | बढाये,core,2,बढाएं (9) | बढा (2)
बचें,बचें,BaCe,BC,1,15,3,activity_method,11,0,0,0.7333,0.0,1,बचें,core,3,बचे (8) | बचाएं (2) | बचाए (1)
जल रहा,जल रहा,JaLaRaHa,JLRH,2,15,4,concern,4,3,1,0.2667,0.2,1,जल रहा,core,3,जर रहा (1) | पता दे रहा (1) | जो रे (1)
खरपतवार नियंत्रण,खरपतवार नियंत्रण,KaRaPaTaBaRaNiYanTRaN,KRPTBRNYTRN,2,15,4,concern,4,1,0,0.2667,0.0667,1,खरपतवार नियंत्रण,core,1,खरपतवार नियंत्रक (2)
किसमें,किसमें,KiSaMe,KSM,1,15,2,variety,13,3,0,0.8667,0.2,1,किसमें,long_tail,2,किस्म (7) | किस्में (6)
पाला जाए,पाला जाए,PaLaJae,PLJ,2,15,3,activity_method,0,0,0,0.0,0.0,1,पाला जाए,core,0,
प्रोग्रेस,प्रोग्रेस,PRoKReS,PRKRS,1,14,3,growth_stage,1,1,0,0.0714,0.0714,1,प्रोग्रेस,core,1,समय (1)
गमले,गमले,KaMaLe,KML,1,14,3,tool,0,0,0,0.0,0.0,1,गमले,core,0,
गुणवत्ता,गुणवत्ता,KuNaBaTa,KNBT,1,14,3,other,6,1,0,0.4286,0.0714,1,गुणवत्ता,core,4,गुणवता (2) | गुण व बता (1) | गुण बकता (1) | गुण (1)
कोहरा,कोहरा,KoHaRa,KHR,1,14,4,concern,5,4,0,0.3571,0.2857,1,कोहरा,core,5,हरा (1) | गोहरा (1) | कोहडा (1) | कुम्हडा (1) | कोबरा (1)
बुवाता,बुवाता,BuBaTa,BBT,1,14,3,activity_method,14,3,1,1.0,0.2143,1,बुवाता,core,6,बोया जाता (5) | बोआता (4) | बुनाता (1) | बोया आता (1) | आता (1) | बनाता (1)
जनवरी माह,जनवरी माह,JaNaBaRiMa,JNBRM,2,14,3,other,0,0,0,0.0,0.0,1,जनवरी माह,core,0,
छोटे-छोटे,छोटे-छोटे,CoTeCoTe,CTCT,1,14,3,growth_stage,0,0,0,0.0,0.0,1,छोटे-छोटे,core,0,
घेवरा,घेवरा,KeBaRa,KBR,1,14,4,crop,11,2,0,0.7857,0.1429,1,घेवरा,core,8,घिउरा (3) | घिवडा (2) | घिवरा (1) | गेहूं (1) | घिया (1) | घिउडा (1) | घ्यूंवा (1) | घेवडा (1)
